COUNTY,year,n,CKD,htn,dm,ed,anemia
121,2010,41588,745,2575,2182,20035,1525
123,2010,9855,120,453,451,3831,291
125,2010,131858,2467,11295,7911,49232,10232
127,2010,7125,98,302,361,3012,255
129,2010,4619,73,385,294,1819,209
131,2010,1072,9,77,47,284,27
133,2010,5914,94,385,303,2588,193
135,2010,1614,23,107,98,546,41
137,2010,5399,60,212,234,1554,214
139,2010,31727,395,1089,1016,10662,640
141,2010,2362,28,102,122,630,55
143,2010,5838,88,422,327,2028,153
145,2010,44415,711,3631,2603,20024,2090
147,2010,31046,410,2137,1509,11678,970
149,2010,13360,175,646,575,6263,378
151,2010,8849,145,640,459,3297,295
153,2010,1694,17,93,75,566,29
155,2010,12349,160,592,443,4313,315
157,2010,10966,125,658,485,3953,317
159,2010,17432,207,1010,849,7056,519
161,2010,35277,557,2225,1588,13262,1170
163,2010,460339,10200,50556,31749,197655,43447
165,2010,7976,88,379,361,2709,319
1,2011,1720,29,137,101,490,57
3,2011,1351,20,112,91,518,44
5,2011,15771,230,675,721,6424,289
7,2011,6042,111,435,363,2374,142
9,2011,4113,46,170,242,1143,111
11,2011,4018,74,344,287,1665,141
13,2011,1448,16,81,68,555,39
15,2011,7493,80,304,316,3742,131
17,2011,19284,337,1170,1053,7452,558
19,2011,2825,30,122,124,999,52
21,2011,32967,568,2332,1875,14051,1030
23,2011,9350,127,545,399,4184,237
25,2011,30829,571,2059,1708,11832,914
27,2011,8833,109,522,457,3281,180
29,2011,4592,42,166,193,1572,133
31,2011,5012,52,249,262,1861,121
33,2011,6340,73,356,269,2171,157
35,2011,8522,112,606,508,3313,250
37,2011,12946,163,606,545,5699,370
39,2011,2690,40,147,152,1238,124
41,2011,6797,66,334,364,2358,146
43,2011,4472,61,170,172,1579,98
45,2011,14648,162,611,559,6296,359
47,2011,5116,42,204,190,1670,106
49,2011,103220,1907,9228,5924,38670,5327
51,2011,5478,93,468,415,2600,260
53,2011,3045,30,238,158,1098,67
55,2011,13865,152,523,490,3669,288
57,2011,8505,124,470,425,2951,225
59,2011,8866,101,476,399,3850,190
61,2011,5772,70,284,260,2341,164
63,2011,5849,78,426,303,2030,182
65,2011,42105,771,2532,2179,16962,1535
67,2011,10926,147,583,529,4842,287
69,2011,5664,87,456,355,2121,160
71,2011,2213,35,120,115,660,51
73,2011,9425,125,511,472,3687,363
75,2011,31088,509,2151,1481,11975,794
77,2011,42415,665,2780,2036,19071,1294
79,2011,4039,41,213,207,1142,158
81,2011,109984,1701,5434,4562,42198,3432
83,2011,256,2,10,8,93,7
85,2011,2771,51,227,222,1326,120
87,2011,12903,154,725,643,4608,531
89,2011,1642,10,64,54,421,29
91,2011,17063,237,1012,860,7335,508
93,2011,13183,161,499,439,5253,327
95,2011,1275,7,73,78,464,28
97,2011,1645,12,102,77,567,41
99,2011,129278,2334,10953,8127,50640,9793
101,2011,4356,78,279,287,1820,165
103,2011,9544,94,385,395,3586,244
105,2011,6046,95,330,288,2854,304
107,2011,7894,117,447,386,3614,306
109,2011,3708,55,203,151,1381,78
111,2011,11155,155,621,539,3868,329
113,2011,2813,28,146,141,816,167
115,2011,22158,417,1679,1311,9733,1166
117,2011,13264,202,748,660,6329,352
119,2011,2251,37,162,143,600,59
121,2011,41539,788,2567,2287,20026,1439
123,2011,9919,111,442,472,3947,443
125,2011,136873,2583,11895,8593,51164,9718
127,2011,7241,95,339,407,3150,385
129,2011,4646,71,417,315,1799,170
131,2011,1072,19,80,46,288,23
133,2011,6037,77,381,345,2745,207
135,2011,1581,22,111,101,554,46
137,2011,5497,60,230,279,1681,221
139,2011,31856,398,1080,1071,11034,641
141,2011,2411,30,130,134,625,51
143,2011,5951,81,474,360,1980,172
145,2011,44204,774,3782,2716,20425,2103
147,2011,30844,423,2244,1500,11682,971
149,2011,13776,160,711,624,6462,375
151,2011,8870,118,651,479,3353,302
153,2011,1717,21,112,92,633,43
155,2011,12581,175,631,505,4610,354
157,2011,10956,149,665,526,3997,314
159,2011,17545,225,1013,863,7730,452
161,2011,35545,566,2207,1656,13941,1171
163,2011,469045,10863,54312,33806,202930,41010
165,2011,8126,103,390,407,2657,436
1,2012,1817,22,151,100,512,60
3,2012,1355,16,94,74,512,38
5,2012,15556,202,690,651,6632,326
7,2012,6040,116,402,385,2314,143
9,2012,3972,54,205,223,1126,131
11,2012,3894,64,360,248,1583,140
13,2012,1369,18,87,59,478,29
15,2012,7321,73,300,298,3616,155
17,2012,19020,296,1135,1000,7191,498
19,2012,2702,36,148,126,927,58
21,2012,32889,571,2211,1668,13989,992
23,2012,9088,119,512,364,4150,247
25,2012,30730,576,1953,1602,11838,914
27,2012,8551,118,494,404,3249,211
29,2012,4483,31,172,184,1616,123
31,2012,4835,53,228,252,1796,124
33,2012,6272,66,319,272,2009,206
35,2012,8121,155,570,479,3195,282
37,2012,12863,163,590,523,5675,377
39,2012,2566,50,146,144,1211,135
41,2012,6700,77,334,335,2287,151
43,2012,4236,65,153,137,1525,85
45,2012,14544,190,693,563,6380,406
47,2012,5063,51,189,183,1623,123
49,2012,99823,2051,9120,5712,38249,5004
51,2012,5392,84,438,354,2477,250
53,2012,3045,26,203,168,1098,76
55,2012,13621,168,522,495,3625,272
57,2012,8514,100,469,395,3134,224
59,2012,8900,125,446,386,4148,216
61,2012,5629,56,232,250,2292,167
63,2012,5470,71,354,290,1882,148
65,2012,42815,674,2536,2095,17219,1596
67,2012,10664,167,544,504,4697,276
69,2012,5623,97,416,306,2260,178
71,2012,2231,34,136,103,1021,54
73,2012,9040,128,476,437,3657,373
75,2012,30893,500,2157,1466,11956,790
77,2012,41406,685,2859,1940,18778,1323
79,2012,3983,42,206,179,1251,181
81,2012,110607,1744,6099,4919,43792,3518
83,2012,249,4,16,14,80,8
85,2012,2738,56,278,201,1296,148
87,2012,12662,160,702,615,4703,525
89,2012,1615,13,57,56,370,36
91,2012,16799,265,1016,858,7362,502
93,2012,12432,143,465,394,4973,282
95,2012,1241,15,75,59,488,35
97,2012,1593,22,90,67,503,33
99,2012,129555,2285,11442,8399,49476,8787
101,2012,4304,71,284,271,1900,207
103,2012,9326,97,361,364,3333,188
105,2012,5848,96,300,273,2777,314
107,2012,7776,108,440,374,3535,354
109,2012,3630,45,178,149,1362,85
111,2012,10968,151,604,543,3698,329
113,2012,2795,40,143,125,846,159
115,2012,21730,400,1556,1252,9436,1045
117,2012,13095,211,731,617,6406,317
119,2012,2187,24,144,135,583,62
121,2012,41643,796,2792,2298,20452,1546
123,2012,9748,129,441,443,3909,437
125,2012,134515,2686,12051,8354,49394,9037
127,2012,6973,92,317,367,2872,372
129,2012,4622,76,419,281,1742,187
131,2012,1020,13,78,57,332,27
133,2012,5959,88,373,317,2813,218
135,2012,1572,20,95,75,599,42
137,2012,5416,75,209,234,1661,211
139,2012,31217,370,1087,1081,10779,659
141,2012,2382,23,123,115,610,43
143,2012,5722,86,440,354,1896,158
145,2012,43037,824,3946,2751,19765,1802
147,2012,30125,430,2084,1425,11577,784
149,2012,13544,179,718,580,6312,356
151,2012,8529,114,620,454,3299,264
153,2012,1688,24,100,80,670,36
155,2012,12458,130,551,478,4763,368
157,2012,10609,145,653,490,4147,302
159,2012,17319,238,954,785,7635,453
161,2012,34481,492,1998,1568,13321,1038
163,2012,460553,11426,55851,33032,199362,39844
165,2012,8132,94,406,403,2776,442
1,2013,1824,32,162,102,568,63
3,2013,1330,21,89,71,488,32
5,2013,15550,275,853,760,6442,362
7,2013,6147,121,421,386,2329,147
9,2013,3981,70,214,236,1184,128
11,2013,3965,59,433,273,1558,131
13,2013,1351,22,76,68,478,39
15,2013,7356,101,381,347,3668,157
17,2013,19040,324,1514,1134,6826,529
19,2013,2681,48,175,145,932,61
21,2013,32797,672,2666,1828,14185,1191
23,2013,9118,140,531,390,4204,288
25,2013,30389,723,2651,1924,12390,993
27,2013,8551,140,548,450,3405,210
29,2013,4391,42,182,233,1579,123
31,2013,4933,81,313,280,1789,159
33,2013,6137,96,350,309,2142,194
35,2013,8152,157,735,535,3244,265
37,2013,13087,244,797,640,5475,425
39,2013,2614,51,208,155,1201,130
41,2013,6624,92,387,385,2318,162
43,2013,4338,74,197,182,1558,114
45,2013,14801,255,882,661,6254,422
47,2013,5037,53,225,230,1584,168
49,2013,101083,2533,11302,6781,38499,5381
51,2013,5367,121,544,401,2405,246
53,2013,3071,36,211,186,1261,92
55,2013,13335,210,682,568,3732,300
57,2013,8459,135,539,481,3101,256
59,2013,8895,162,575,478,4092,298
61,2013,5597,70,260,266,2169,186
63,2013,5383,98,456,361,1850,141
65,2013,43282,1006,3246,2492,16973,1611
67,2013,10655,194,615,550,4458,286
69,2013,5627,103,467,348,2232,175
71,2013,2198,44,144,112,956,49
73,2013,9077,150,679,535,3555,380
75,2013,31085,588,2562,1690,12162,936
77,2013,42127,987,3657,2332,18406,1461
