"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test"
"DM = 1 (%)","    82274 (  5.6) ","    71822 (  5.0) ","    10452 ( 26.5) ","<0.001","","    74347 (  5.2) ","     7927 ( 35.1) ","<0.001","","    46437 (  5.3) ","    30172 (  6.4) ","      363 (  4.7) ","     1686 (  8.2) ","     2890 (  3.9) ","      726 (  3.9) ","<0.001",""
"DYSRHYTH = 1 (%)","    23631 (  1.6) ","    19508 (  1.4) ","     4123 ( 10.5) ","<0.001","","    20099 (  1.4) ","     3532 ( 15.7) ","<0.001","","    14156 (  1.6) ","     8196 (  1.7) ","       78 (  1.0) ","      370 (  1.8) ","      524 (  0.7) ","      307 (  1.7) ","<0.001",""
"ED = 1 (%)","   582282 ( 39.8) ","   558836 ( 39.2) ","    23446 ( 59.5) ","<0.001","","   568768 ( 39.4) ","    13514 ( 59.9) ","<0.001","","   315618 ( 36.3) ","   224942 ( 47.4) ","     3063 ( 39.3) ","     4607 ( 22.3) ","    29386 ( 39.3) ","     4666 ( 25.2) ","<0.001",""
"GI = 1 (%)","    11892 (  0.8) ","     9964 (  0.7) ","     1928 (  4.9) ","<0.001","","    10284 (  0.7) ","     1608 (  7.1) ","<0.001","","     6885 (  0.8) ","     4238 (  0.9) ","       54 (  0.7) ","      219 (  1.1) ","      383 (  0.5) ","      113 (  0.6) ","<0.001",""
"HOMEHEALTH = 1 (%)","    13795 (  0.9) ","    10604 (  0.7) ","     3191 (  8.1) ","<0.001","","    11180 (  0.8) ","     2615 ( 11.6) ","<0.001","","     7446 (  0.9) ","     5147 (  1.1) ","       47 (  0.6) ","      198 (  1.0) ","      636 (  0.9) ","      321 (  1.7) ","<0.001",""
"HTN = 1 (%)","   109779 (  7.5) ","    94850 (  6.7) ","    14929 ( 37.9) ","<0.001","","    98564 (  6.8) ","    11215 ( 49.7) ","<0.001","","    52521 (  6.0) ","    51353 ( 10.8) ","      347 (  4.5) ","     1912 (  9.3) ","     2658 (  3.6) ","      988 (  5.3) ","<0.001",""
"ICDCRTD = 1 (%)","       96 (  0.0) ","       56 (  0.0) ","       40 (  0.1) ","<0.001","","       56 (  0.0) ","       40 (  0.2) ","<0.001","","       49 (  0.0) ","       44 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        1 (  0.0) "," 0.073",""
"INF_HOSP = 1 (%)","   538772 ( 36.8) ","   513742 ( 36.0) ","    25030 ( 63.5) ","<0.001","","   525816 ( 36.5) ","    12956 ( 57.4) ","<0.001","","   325064 ( 37.4) ","   171670 ( 36.2) ","     2919 ( 37.5) ","     6502 ( 31.5) ","    27472 ( 36.8) ","     5145 ( 27.8) ","<0.001",""
"LABXRAY = 1 (%)","   951118 ( 64.9) ","   917207 ( 64.3) ","    33911 ( 86.1) ","<0.001","","   932810 ( 64.7) ","    18308 ( 81.2) ","<0.001","","   553732 ( 63.7) ","   320265 ( 67.5) ","     5069 ( 65.1) ","    11825 ( 57.3) ","    50091 ( 67.0) ","    10136 ( 54.7) ","<0.001",""
"LIVERDIS = 1 (%)","     9486 (  0.6) ","     8048 (  0.6) ","     1438 (  3.6) ","<0.001","","     8336 (  0.6) ","     1150 (  5.1) ","<0.001","","     5516 (  0.6) ","     3271 (  0.7) ","       45 (  0.6) ","      207 (  1.0) ","      352 (  0.5) ","       95 (  0.5) ","<0.001",""
