"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"CLINIC = 1 (%)","   211055 ( 25.0) ","    50834 ( 23.5) ","    81599 ( 31.5) ","    20861 ( 19.7) ","    36414 ( 20.7) ","    21347 ( 24.2) ","<0.001",""," 0.126","    50445 ( 23.4) ","    81372 ( 31.5) ","    20809 ( 19.7) ","    36255 ( 20.7) ","    21164 ( 24.2) ","      389 ( 34.6) ","      227 ( 35.9) ","       52 ( 21.7) ","      159 ( 29.0) ","      183 ( 27.1) ","<0.001",""," 0.157"
"COPD = 1 (%)","    63803 (  7.5) ","    17578 (  8.1) ","    21377 (  8.3) ","     7911 (  7.5) ","    11544 (  6.6) ","     5393 (  6.1) ","<0.001",""," 0.045","    17436 (  8.1) ","    21284 (  8.2) ","     7879 (  7.4) ","    11470 (  6.5) ","     5315 (  6.1) ","      142 ( 12.6) ","       93 ( 14.7) ","       32 ( 13.3) ","       74 ( 13.5) ","       78 ( 11.5) ","<0.001",""," 0.128"
"CVA = 1 (%)","     1075 (  0.1) ","      349 (  0.2) ","      209 (  0.1) ","       97 (  0.1) ","      217 (  0.1) ","      203 (  0.2) ","<0.001",""," 0.019","      314 (  0.1) ","      202 (  0.1) ","       96 (  0.1) ","      205 (  0.1) ","      184 (  0.2) ","       35 (  3.1) ","        7 (  1.1) ","        1 (  0.4) ","       12 (  2.2) ","       19 (  2.8) ","<0.001",""," 0.121"
"CVD_HOSP = 1 (%)","     9500 (  1.1) ","     4625 (  2.1) ","     2262 (  0.9) ","      669 (  0.6) ","     1243 (  0.7) ","      701 (  0.8) ","<0.001",""," 0.056","     4469 (  2.1) ","     2234 (  0.9) ","      662 (  0.6) ","     1213 (  0.7) ","      677 (  0.8) ","      156 ( 13.9) ","       28 (  4.4) ","        7 (  2.9) ","       30 (  5.5) ","       24 (  3.6) ","<0.001",""," 0.196"
"DIALYSIS = 1 (%)","      124 (  0.0) ","       15 (  0.0) ","       15 (  0.0) ","       14 (  0.0) ","       35 (  0.0) ","       45 (  0.1) ","<0.001",""," 0.013","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","       14 (  1.2) ","       15 (  2.4) ","       14 (  5.8) ","       35 (  6.4) ","       44 (  6.5) ","<0.001",""," 0.198"
"DM = 1 (%)","     6622 (  0.8) ","      270 (  0.1) ","     1002 (  0.4) ","      959 (  0.9) ","     2597 (  1.5) ","     1794 (  2.0) ","<0.001",""," 0.102","      268 (  0.1) ","      993 (  0.4) ","      948 (  0.9) ","     2542 (  1.5) ","     1720 (  2.0) ","        2 (  0.2) ","        9 (  1.4) ","       11 (  4.6) ","       55 ( 10.0) ","       74 ( 10.9) ","<0.001",""," 0.222"
"DYSRHYTH = 1 (%)","     4251 (  0.5) ","      951 (  0.4) ","      772 (  0.3) ","      482 (  0.5) ","     1138 (  0.6) ","      908 (  1.0) ","<0.001",""," 0.042","      876 (  0.4) ","      761 (  0.3) ","      478 (  0.5) ","     1114 (  0.6) ","      856 (  1.0) ","       75 (  6.7) ","       11 (  1.7) ","        4 (  1.7) ","       24 (  4.4) ","       52 (  7.7) ","<0.001",""," 0.176"
"ED = 1 (%)","   334011 ( 39.5) ","   105635 ( 48.8) ","    89777 ( 34.7) ","    32928 ( 31.0) ","    62549 ( 35.6) ","    43122 ( 48.9) ","<0.001",""," 0.206","   104920 ( 48.7) ","    89454 ( 34.6) ","    32799 ( 31.0) ","    62202 ( 35.5) ","    42597 ( 48.7) ","      715 ( 63.6) ","      323 ( 51.1) ","      129 ( 53.8) ","      347 ( 63.3) ","      525 ( 77.7) ","<0.001",""," 0.367"
"GI = 1 (%)","     2448 (  0.3) ","      815 (  0.4) ","      374 (  0.1) ","      178 (  0.2) ","      498 (  0.3) ","      583 (  0.7) ","<0.001",""," 0.042","      790 (  0.4) ","      368 (  0.1) ","      171 (  0.2) ","      493 (  0.3) ","      558 (  0.6) ","       25 (  2.2) ","        6 (  0.9) ","        7 (  2.9) ","        5 (  0.9) ","       25 (  3.7) ","<0.001",""," 0.119"
"HOMEHEALTH = 1 (%)","     3979 (  0.5) ","     2682 (  1.2) ","      358 (  0.1) ","      146 (  0.1) ","      362 (  0.2) ","      431 (  0.5) ","<0.001",""," 0.068","     2550 (  1.2) ","      342 (  0.1) ","      141 (  0.1) ","      333 (  0.2) ","      388 (  0.4) ","      132 ( 11.7) ","       16 (  2.5) ","        5 (  2.1) ","       29 (  5.3) ","       43 (  6.4) ","<0.001",""," 0.220"
"HTN = 1 (%)","     5499 (  0.7) ","      290 (  0.1) ","      653 (  0.3) ","      513 (  0.5) ","     2033 (  1.2) ","     2010 (  2.3) ","<0.001",""," 0.106","      224 (  0.1) ","      592 (  0.2) ","      464 (  0.4) ","     1883 (  1.1) ","     1867 (  2.1) ","       66 (  5.9) ","       61 (  9.7) ","       49 ( 20.4) ","      150 ( 27.4) ","      143 ( 21.2) ","<0.001",""," 0.412"
"ICDCRTD = 1 (%)","        5 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.0) ","<0.001",""," 0.004","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","<0.001",""," 0.002"
"INF_HOSP = 1 (%)","   320384 ( 37.9) ","   103526 ( 47.8) ","    94933 ( 36.6) ","    30462 ( 28.7) ","    55205 ( 31.4) ","    36258 ( 41.1) ","<0.001",""," 0.200","   102750 ( 47.7) ","    94511 ( 36.6) ","    30323 ( 28.6) ","    54845 ( 31.3) ","    35781 ( 40.9) ","      776 ( 69.0) ","      422 ( 66.8) ","      139 ( 57.9) ","      360 ( 65.7) ","      477 ( 70.6) ","<0.001",""," 0.412"
"LABXRAY = 1 (%)","   534764 ( 63.2) ","   140859 ( 65.0) ","   148779 ( 57.4) ","    61228 ( 57.7) ","   116485 ( 66.2) ","    67413 ( 76.5) ","<0.001",""," 0.200","   139754 ( 64.9) ","   148169 ( 57.3) ","    60995 ( 57.6) ","   115951 ( 66.1) ","    66765 ( 76.3) ","     1105 ( 98.3) ","      610 ( 96.5) ","      233 ( 97.1) ","      534 ( 97.4) ","      648 ( 95.9) ","<0.001",""," 0.566"
"LIVERDIS = 1 (%)","     1150 (  0.1) ","      124 (  0.1) ","      155 (  0.1) ","      116 (  0.1) ","      390 (  0.2) ","      365 (  0.4) ","<0.001",""," 0.039","      106 (  0.0) ","      151 (  0.1) ","      111 (  0.1) ","      378 (  0.2) ","      347 (  0.4) ","       18 (  1.6) ","        4 (  0.6) ","        5 (  2.1) ","       12 (  2.2) ","       18 (  2.7) ","<0.001",""," 0.116"
"NONKIDNEYTX = 1 (%)","      196 (  0.0) ","       35 (  0.0) ","       69 (  0.0) ","       32 (  0.0) ","       34 (  0.0) ","       26 (  0.0) "," 0.029",""," 0.005","       29 (  0.0) ","       63 (  0.0) ","       27 (  0.0) ","       21 (  0.0) ","       20 (  0.0) ","        6 (  0.5) ","        6 (  0.9) ","        5 (  2.1) ","       13 (  2.4) ","        6 (  0.9) ","<0.001",""," 0.107"
"NONPEDCONG = 1 (%)","     3215 (  0.4) ","      822 (  0.4) ","      443 (  0.2) ","      247 (  0.2) ","      833 (  0.5) ","      870 (  1.0) ","<0.001",""," 0.053","      734 (  0.3) ","      424 (  0.2) ","      237 (  0.2) ","      792 (  0.5) ","      801 (  0.9) ","       88 (  7.8) ","       19 (  3.0) ","       10 (  4.2) ","       41 (  7.5) ","       69 ( 10.2) ","<0.001",""," 0.228"
"OPHOSPITAL = 1 (%)","   383987 ( 45.4) ","   116807 ( 53.9) ","   106714 ( 41.2) ","    39300 ( 37.0) ","    72300 ( 41.1) ","    48866 ( 55.4) ","<0.001",""," 0.201","   115855 ( 53.8) ","   106211 ( 41.1) ","    39102 ( 36.9) ","    71848 ( 41.0) ","    48257 ( 55.2) ","      952 ( 84.7) ","      503 ( 79.6) ","      198 ( 82.5) ","      452 ( 82.5) ","      609 ( 90.1) ","<0.001",""," 0.567"
"OTHCARDIAC = 1 (%)","    11310 (  1.3) ","     3842 (  1.8) ","     2387 (  0.9) ","      895 (  0.8) ","     2357 (  1.3) ","     1829 (  2.1) ","<0.001",""," 0.056","     3735 (  1.7) ","     2365 (  0.9) ","      883 (  0.8) ","     2318 (  1.3) ","     1757 (  2.0) ","      107 (  9.5) ","       22 (  3.5) ","       12 (  5.0) ","       39 (  7.1) ","       72 ( 10.7) ","<0.001",""," 0.201"
"PAD = 1 (%)","       19 (  0.0) ","        6 (  0.0) ","        3 (  0.0) ","        0 (  0.0) ","        5 (  0.0) ","        5 (  0.0) "," 0.064",""," 0.005","        6 (  0.0) ","        3 (  0.0) ","        0 (  0.0) ","        4 (  0.0) ","        4 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.2) ","        1 (  0.1) ","<0.001",""," 0.023"
"PCI = 1 (%)","        3 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.727",""," 0.002","        1 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.990",""," 0.002"
"PEDCKD = 1 (%)","     7771 (  0.9) ","     1808 (  0.8) ","     1783 (  0.7) ","      829 (  0.8) ","     1788 (  1.0) ","     1563 (  1.8) ","<0.001",""," 0.045","      748 (  0.3) ","     1181 (  0.5) ","      610 (  0.6) ","     1286 (  0.7) ","      992 (  1.1) ","     1060 ( 94.3) ","      602 ( 95.3) ","      219 ( 91.2) ","      502 ( 91.6) ","      571 ( 84.5) ","<0.001",""," 2.638"
"PEDCONG = 1 (%)","     5273 (  0.6) ","     3022 (  1.4) ","     1106 (  0.4) ","      384 (  0.4) ","      521 (  0.3) ","      240 (  0.3) ","<0.001",""," 0.055","     2874 (  1.3) ","     1084 (  0.4) ","      377 (  0.4) ","      505 (  0.3) ","      230 (  0.3) ","      148 ( 13.2) ","       22 (  3.5) ","        7 (  2.9) ","       16 (  2.9) ","       10 (  1.5) ","<0.001",""," 0.189"
"PHYSICIANF = 1 (%)","   743472 ( 87.9) ","   204012 ( 94.2) ","   224461 ( 86.6) ","    90086 ( 84.9) ","   150019 ( 85.3) ","    74894 ( 84.9) ","<0.001",""," 0.132","   202895 ( 94.2) ","   223848 ( 86.6) ","    89853 ( 84.9) ","   149483 ( 85.3) ","    74226 ( 84.8) ","     1117 ( 99.4) ","      613 ( 97.0) ","      233 ( 97.1) ","      536 ( 97.8) ","      668 ( 98.8) ","<0.001",""," 0.284"
"PSYCH = 0 (%)","   845788 (100.0) ","   216602 (100.0) ","   259080 (100.0) ","   106081 (100.0) ","   175857 (100.0) ","    88168 (100.0) "," NA","","<0.001","   215478 (100.0) ","   258448 (100.0) ","   105841 (100.0) ","   175309 (100.0) ","    87492 (100.0) ","     1124 (100.0) ","      632 (100.0) ","      240 (100.0) ","      548 (100.0) ","      676 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","      824 (  0.1) ","      190 (  0.1) ","       96 (  0.0) ","       71 (  0.1) ","      223 (  0.1) ","      244 (  0.3) ","<0.001",""," 0.029","      163 (  0.1) ","       92 (  0.0) ","       65 (  0.1) ","      202 (  0.1) ","      221 (  0.3) ","       27 (  2.4) ","        4 (  0.6) ","        6 (  2.5) ","       21 (  3.8) ","       23 (  3.4) ","<0.001",""," 0.143"
"RCPNT_DLVRY = 1 (%)","    33709 (  4.0) ","    27778 ( 12.8) ","        1 (  0.0) ","        2 (  0.0) ","      741 (  0.4) ","     5187 (  5.9) ","<0.001",""," 0.305","    27453 ( 12.7) ","        1 (  0.0) ","        2 (  0.0) ","      723 (  0.4) ","     5052 (  5.8) ","      325 ( 28.9) ","        0 (  0.0) ","        0 (  0.0) ","       18 (  3.3) ","      135 ( 20.0) ","<0.001",""," 0.398"
"SNF = 0 (%)","   845788 (100.0) ","   216602 (100.0) ","   259080 (100.0) ","   106081 (100.0) ","   175857 (100.0) ","    88168 (100.0) "," NA","","<0.001","   215478 (100.0) ","   258448 (100.0) ","   105841 (100.0) ","   175309 (100.0) ","    87492 (100.0) ","     1124 (100.0) ","      632 (100.0) ","      240 (100.0) ","      548 (100.0) ","      676 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","      110 (  0.0) ","       11 (  0.0) ","       26 (  0.0) ","       14 (  0.0) ","       29 (  0.0) ","       30 (  0.0) ","<0.001",""," 0.010","        3 (  0.0) ","       11 (  0.0) ","        2 (  0.0) ","        6 (  0.0) ","        8 (  0.0) ","        8 (  0.7) ","       15 (  2.4) ","       12 (  5.0) ","       23 (  4.2) ","       22 (  3.3) ","<0.001",""," 0.165"
"age (mean (sd))","-54688.17 (165.49)","-54888.08 (29.35)","-54755.41 (46.58)","-54628.25 (22.36)","-54517.51 (38.76)","-54412.02 (22.18)","<0.001",""," 7.744","-54888.01 (29.34)","-54755.41 (46.58)","-54628.25 (22.36)","-54517.54 (38.76)","-54412.07 (22.17)","-54901.23 (28.13)","-54753.76 (46.70)","-54628.17 (22.76)","-54508.71 (38.76)","-54405.21 (22.37)","<0.001",""," 7.072"
"died = 0 (%)","   845788 (100.0) ","   216602 (100.0) ","   259080 (100.0) ","   106081 (100.0) ","   175857 (100.0) ","    88168 (100.0) "," NA","","<0.001","   215478 (100.0) ","   258448 (100.0) ","   105841 (100.0) ","   175309 (100.0) ","    87492 (100.0) ","     1124 (100.0) ","      632 (100.0) ","      240 (100.0) ","      548 (100.0) ","      676 (100.0) "," NA","","<0.001"
