"","Overall","0","1","p","test","SMD","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"HOMEHEALTH = 1 (%)","     3979 (  0.5) ","     3643 (  0.4) ","      336 (  4.3) ","<0.001",""," 0.257","     2682 (  1.2) ","      309 (  0.1) ","      195 (  0.1) ","      239 (  0.2) ","      554 (  0.4) ","<0.001",""," 0.066","     2509 (  1.2) ","      282 (  0.1) ","      170 (  0.1) ","      203 (  0.1) ","      479 (  0.4) ","      173 (  9.6) ","       27 (  1.8) ","       25 (  2.3) ","       36 (  2.6) ","       75 (  3.8) ","<0.001",""," 0.179"
"HTN = 1 (%)","     5499 (  0.7) ","     4807 (  0.6) ","      692 (  8.9) ","<0.001",""," 0.400","      290 (  0.1) ","      517 (  0.2) ","      649 (  0.5) ","     1446 (  1.0) ","     2597 (  2.1) ","<0.001",""," 0.100","      214 (  0.1) ","      453 (  0.2) ","      569 (  0.4) ","     1271 (  0.9) ","     2300 (  1.9) ","       76 (  4.2) ","       64 (  4.2) ","       80 (  7.3) ","      175 ( 12.8) ","      297 ( 14.9) ","<0.001",""," 0.275"
"ICDCRTD = 1 (%)","        5 (  0.0) ","        5 (  0.0) ","        0 (  0.0) "," 1.000",""," 0.003","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.0) ","<0.001",""," 0.004","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.001",""," 0.002"
"INF_HOSP = 1 (%)","   320384 ( 37.9) ","   315280 ( 37.6) ","     5104 ( 65.7) ","<0.001",""," 0.585","   103526 ( 47.8) ","    83166 ( 37.5) ","    42229 ( 29.4) ","    42005 ( 30.1) ","    49458 ( 39.8) ","<0.001",""," 0.194","   102247 ( 47.6) ","    82153 ( 37.3) ","    41603 ( 29.2) ","    41252 ( 29.8) ","    48025 ( 39.2) ","     1279 ( 70.7) ","     1013 ( 66.9) ","      626 ( 57.1) ","      753 ( 55.3) ","     1433 ( 72.0) ","<0.001",""," 0.415"
"LABXRAY = 1 (%)","   534764 ( 63.2) ","   527205 ( 62.9) ","     7559 ( 97.3) ","<0.001",""," 0.953","   140859 ( 65.0) ","   128121 ( 57.8) ","    81886 ( 57.1) ","    90451 ( 64.8) ","    93447 ( 75.1) ","<0.001",""," 0.185","   139101 ( 64.8) ","   126653 ( 57.5) ","    80821 ( 56.8) ","    89122 ( 64.4) ","    91508 ( 74.8) ","     1758 ( 97.2) ","     1468 ( 96.9) ","     1065 ( 97.1) ","     1329 ( 97.6) ","     1939 ( 97.5) ","<0.001",""," 0.567"
"LIVERDIS = 1 (%)","     1150 (  0.1) ","     1059 (  0.1) ","       91 (  1.2) ","<0.001",""," 0.130","      124 (  0.1) ","      118 (  0.1) ","      153 (  0.1) ","      267 (  0.2) ","      488 (  0.4) ","<0.001",""," 0.037","      103 (  0.0) ","      113 (  0.1) ","      143 (  0.1) ","      249 (  0.2) ","      451 (  0.4) ","       21 (  1.2) ","        5 (  0.3) ","       10 (  0.9) ","       18 (  1.3) ","       37 (  1.9) ","<0.001",""," 0.089"
"NONKIDNEYTX = 1 (%)","      196 (  0.0) ","      149 (  0.0) ","       47 (  0.6) ","<0.001",""," 0.106","       35 (  0.0) ","       54 (  0.0) ","       47 (  0.0) ","       25 (  0.0) ","       35 (  0.0) "," 0.009",""," 0.006","       28 (  0.0) ","       47 (  0.0) ","       37 (  0.0) ","       15 (  0.0) ","       22 (  0.0) ","        7 (  0.4) ","        7 (  0.5) ","       10 (  0.9) ","       10 (  0.7) ","       13 (  0.7) ","<0.001",""," 0.068"
"NONPEDCONG = 1 (%)","     3215 (  0.4) ","     2915 (  0.3) ","      300 (  3.9) ","<0.001",""," 0.247","      822 (  0.4) ","      372 (  0.2) ","      318 (  0.2) ","      589 (  0.4) ","     1114 (  0.9) ","<0.001",""," 0.048","      735 (  0.3) ","      349 (  0.2) ","      299 (  0.2) ","      542 (  0.4) ","      990 (  0.8) ","       87 (  4.8) ","       23 (  1.5) ","       19 (  1.7) ","       47 (  3.5) ","      124 (  6.2) ","<0.001",""," 0.162"
"OPHOSPITAL = 1 (%)","   383987 ( 45.4) ","   378086 ( 45.1) ","     5901 ( 75.9) ","<0.001",""," 0.664","   116807 ( 53.9) ","    92394 ( 41.7) ","    53620 ( 37.4) ","    55515 ( 39.7) ","    65651 ( 52.8) ","<0.001",""," 0.187","   115276 ( 53.7) ","    91246 ( 41.4) ","    52901 ( 37.2) ","    54632 ( 39.5) ","    64031 ( 52.3) ","     1531 ( 84.7) ","     1148 ( 75.8) ","      719 ( 65.5) ","      883 ( 64.8) ","     1620 ( 81.4) ","<0.001",""," 0.462"
"OTHCARDIAC = 1 (%)","    11310 (  1.3) ","    10900 (  1.3) ","      410 (  5.3) ","<0.001",""," 0.224","     3842 (  1.8) ","     2092 (  0.9) ","     1190 (  0.8) ","     1782 (  1.3) ","     2404 (  1.9) ","<0.001",""," 0.053","     3718 (  1.7) ","     2048 (  0.9) ","     1150 (  0.8) ","     1714 (  1.2) ","     2270 (  1.9) ","      124 (  6.9) ","       44 (  2.9) ","       40 (  3.6) ","       68 (  5.0) ","      134 (  6.7) ","<0.001",""," 0.150"
